Term,P-value,Adjusted P-value,Combined Score,Genes,Library
Ciliary Landscape WP4352,0.0019632612266863537,0.127611979734613,51.19558166720526,IFT88;WHRN;EXOC4;CDH23,WikiPathway_2023_Human
Pre Implantation Embryo WP3527,0.00926028293931899,0.15819242340052905,69.30366021141536,FOSB;ATP1A1,WikiPathway_2023_Human
Biosynthesis And Turnover Of 1 Deoxy Sphingoid Bases WP5179,0.01982916145118511,0.15819242340052905,227.9549801512961,KDSR,WikiPathway_2023_Human
NAD Biosynthesis II From Tryptophan WP2485,0.01982916145118511,0.15819242340052905,227.9549801512961,NADSYN1,WikiPathway_2023_Human
Acquired Partial Lipodystrophy Barraquer Simons Syndrome WP5104,0.02472594881725805,0.15819242340052905,167.3010120823387,C3,WikiPathway_2023_Human
Interleukin 1 Induced Activation Of NF kB WP3656,0.02472594881725805,0.15819242340052905,167.3010120823387,UBE2V1,WikiPathway_2023_Human
Glyoxylate Metabolism WP5166,0.027165344857992397,0.15819242340052905,146.73452100035948,GOT2,WikiPathway_2023_Human
Arsenic Metabolism And Reactive Oxygen Species Generation WP5233,0.027165344857992397,0.15819242340052905,146.73452100035948,ATP1A1,WikiPathway_2023_Human
IDO Metabolic Pathway WP5414,0.027165344857992397,0.15819242340052905,146.73452100035948,GOT2,WikiPathway_2023_Human
Alanine And Aspartate Metabolism WP106,0.029598761568907096,0.15819242340052905,130.2147194065139,GOT2,WikiPathway_2023_Human
